,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District
1074,1010,107,3,2,1,1,No,No,No,No,Itaim Bibi
2123,580,58,2,1,0,1,No,No,No,No,Barra Funda
4321,600,72,3,1,0,1,No,No,No,No,Butantã
4365,450,55,2,1,0,1,No,No,No,No,Butantã
47,857,115,3,2,1,2,Yes,No,Yes,No,Belém
9378,0,60,2,2,1,1,No,Yes,No,No,Santana
3843,0,76,2,2,1,1,No,No,Yes,No,Moema
1553,1100,100,3,4,1,3,Yes,No,Yes,No,Vila Sônia
9268,1420,150,3,3,1,1,Yes,No,No,No,Santa Cecília
4614,0,40,1,1,0,0,No,No,No,No,Limão
10468,1450,156,3,4,3,3,No,No,Yes,No,Tatuapé
3068,482,82,3,2,1,1,No,Yes,No,No,Cidade Líder
3173,0,34,1,1,0,0,No,No,No,No,São Lucas
10019,430,66,2,2,1,1,No,No,No,No,Socorro
3011,365,64,2,2,1,1,No,No,Yes,No,Carrão
1032,445,62,3,2,1,1,Yes,No,No,No,Cursino
9717,567,72,3,2,1,1,Yes,No,No,No,São Lucas
9603,180,48,2,2,1,1,No,No,No,No,Artur Alvim
547,840,112,3,2,1,3,Yes,No,Yes,No,Tatuapé
1572,1700,165,3,6,3,2,No,No,Yes,No,Vila Sônia
870,0,280,3,2,1,2,No,No,No,No,Campo Limpo
10231,540,60,3,2,1,1,Yes,No,Yes,No,Vila Leopoldina
330,120,48,2,2,1,1,No,No,No,No,José Bonifácio
9839,2700,210,3,5,3,3,Yes,Yes,Yes,No,Campo Belo
4510,1050,70,3,1,0,2,No,No,No,No,Lapa
9966,1300,78,1,2,1,2,Yes,Yes,Yes,No,Morumbi
9245,310,30,1,2,1,1,No,No,No,No,República
2445,531,40,1,1,0,1,No,No,Yes,No,Liberdade
10653,3160,259,2,3,2,3,No,Yes,No,No,Jardim Paulista
1713,732,58,2,2,1,2,No,No,Yes,No,Butantã
10521,1980,194,3,4,3,4,No,Yes,Yes,No,Campo Belo
10210,0,77,3,2,1,1,Yes,Yes,Yes,No,Raposo Tavares
11170,2160,140,3,3,2,3,No,No,Yes,No,Vila Madalena
4582,440,50,2,1,0,1,No,No,No,No,Limão
10441,250,54,2,1,0,1,No,No,Yes,No,Itaquera
4481,550,78,3,2,1,2,No,No,Yes,No,Jaguaré
889,350,45,2,2,1,1,No,No,No,No,Campo Limpo
2748,270,60,2,1,0,1,No,No,No,No,Santana
3061,390,54,2,2,1,1,No,No,Yes,No,Cidade Líder
493,0,43,2,2,1,1,Yes,Yes,No,No,São Mateus
10654,3399,243,3,4,3,3,No,No,Yes,No,Jardim Paulista
4165,2700,170,3,3,2,3,No,Yes,Yes,No,Vila Mariana
2361,330,32,1,1,0,1,Yes,Yes,Yes,No,Brás
9880,800,70,2,2,1,1,No,No,No,No,Ipiranga
9319,330,41,2,2,1,1,No,No,Yes,No,Jaçanã
3764,3161,230,3,2,1,2,Yes,Yes,No,No,Jardim Paulista
1535,2892,220,4,4,3,3,Yes,Yes,Yes,No,Vila Mariana
175,172,52,2,2,1,1,No,No,No,No,Cidade Tiradentes
981,1451,200,4,4,3,2,No,No,Yes,No,Cidade Dutra
9561,0,83,3,2,1,1,Yes,No,Yes,No,Água Rasa
3718,2250,78,2,2,1,2,No,Yes,Yes,No,Jardim Paulista
10596,580,68,2,2,1,1,No,No,Yes,No,Ipiranga
1254,1000,90,1,2,1,2,Yes,No,No,No,Morumbi
4227,6000,319,3,4,3,5,No,Yes,Yes,No,Alto de Pinheiros
2010,400,45,3,2,1,1,No,No,Yes,No,Pirituba
9753,1400,225,3,2,3,4,Yes,Yes,Yes,No,Tatuapé
3144,794,80,3,2,1,1,No,No,Yes,No,Penha
764,574,80,3,2,1,2,Yes,No,Yes,No,Cambuci
1600,2500,170,3,3,1,2,Yes,No,Yes,No,Alto de Pinheiros
3340,150,60,3,2,0,0,No,No,No,No,Cambuci
2,100,48,2,2,1,1,No,No,No,No,Artur Alvim
